ID,naziv,tip,opstina,ha,ar,m2,ekoloska_mreza
1,Bara Trskovača,Protected habitat,Ruma,168,15,44,Turistička organizacija opštine Ruma
2,Leget,Natural Monument,Sremska Mitrovica,1,19,0,
3,Deo područja sela Tršića i manastira Tronoše,Natural Monument,Loznica,0,0,0,
4,Park Oplenac,Natural Monument,Topola,83,0,0,
5,Visoki Dečani,Natural Monument,Dečani,15,18,0,
6,Orašac,Natural Monument,Aranđelovac,39,36,71,
7,Tatkova zemunica,Natural Monument,Merošina,369,99,0,
8,Takovski grm,Natural Monument,Gornji Milanovac,10,29,60,
9,Ljubić,Natural Monument,Čačak,2,12,80,
10,Kadinjača,Natural Monument,"Užice, Bajina Bašta",52,77,61,
11,Mačkov kamen,Natural Monument,Ljubovija,11,83,21,
12,Mijajlova jama,Natural Monument,Despotovac,7,74,80,
13,Draginac,Natural Monument,Loznica,2,88,2,
14,Tekeriš,Natural Monument,Loznica,0,36,97,
15,Bubanja,Natural Monument,Bogatić,0,84,46,
16,Vrapče brdo,Natural Monument,Lajkovac,13,56,69,
17,Prnjavor,Natural Monument,Šabac,0,30,53,
18,Gradište,Natural Monument,Rača,39,82,20,
19,Klisura Prizrenske Bistrice,Natural Monument,Prizren,200,0,0,
20,Memorijalni park ''Crni vrh'' kod Peći,Natural Monument,Peć,112,56,0,
21,Memorijalni kompleks ''Zenelj Hajdini'' u selu Ramljane,Natural Monument,Vitina,0,0,0,
22,Memorijalni prirodni spomenik ''Čabrat'',Natural Monument,Đakovica,64,0,0,
23,Spomen šuma u Kuštilju,Natural Monument,Vršac,2,42,0,
24,Staro stablo bresta (Ulmus campestris L.),Natural Monument,Sečanj,0,0,0,
25,Lojanik,Natural Monument,Kraljevo,5,0,0,
26,Prilepske planine,Natural Monument,Dečani,0,92,0,
27,Humka na potezu Livade,Natural Monument,Žabalj,0,17,82,
28,Okolina manastira Naupare,Landscape of Outstanding Qualities,Kruševac,113,19,77,
29,Staro selo u Sirogojnu,Landscape of Outstanding Qualities,Čajetina,25,24,0,
30,Prirodni prostor oko manastira Manasija,Landscape of Outstanding Qualities,Despotovac,243,68,13,
31,Prirodni prostor oko crkve sv. Bogorodice u Kuršumliji,Landscape of Outstanding Qualities,Kuršumlija,14,8,78,
32,Prirodni prostor oko crkve sv. Nikole u Kuršumliji,Landscape of Outstanding Qualities,Kuršumlija,13,44,89,
33,Prirodni proctor manastira Koporin,Landscape of Outstanding Qualities,Velika Plana,47,21,20,
34,Prirodni prostor oko manastira Mileševa,Landscape of Outstanding Qualities,Prijepolje,289,69,0,
35,Prirodni prostor oko arheološkog nalazišta Gamzigrad-Romulijana,Landscape of Outstanding Qualities,Zaječar,175,91,83,
36,Prirodni prostor manastira Bogovađa,Landscape of Outstanding Qualities,Lajkovac,18,0,83,
37,Prirodni prostor kompleksa Jašunjskih manastira Sv. Jovana i Sv. Bogorodice,Landscape of Outstanding Qualities,Leskovac,188,27,35,
38,Prirodni prostor crkve brvnare - Miličinica,Landscape of Outstanding Qualities,Valjevo,25,73,81,
39,Ivankovac,Landscape of Outstanding Qualities,Ćuprija,74,9,30,
40,Prirodni proctor manastira Ljubostinja,Landscape of Outstanding Qualities,Trstenik,113,13,54,
41,Radovanjski lug,Landscape of Outstanding Qualities,Velika Plana,62,64,34,
42,Kompleks manastira Radovašnica,Landscape of Outstanding Qualities,Šabac,53,92,51,
43,Granica neposredne okoline Sobrašica u Lužnicama,Landscape of Outstanding Qualities,Kragujevac,0,83,85,
