TYPE,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO3,ISO3
Polygon,555552430,555552430,1,Sastojina starih slavonskih hrastova Smogva,Sastojina starih slavonskih hrastova Smogva,Spomenik prirode,Natural Monument,National,Not Assigned,Not Applicable,0,0,0,0.04,0.03642452155,Not Applicable,0,Designated,1951,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328840,328840,1,Obedska bara,Obedska bara,Rezervat prirode,Nature Reserve,National,IV,Not Applicable,0,0,0,98.2,98.96380201,Not Applicable,0,Designated,1951,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145417,145417,1,Varos,Varos,Rezervat prirode,Nature Reserve,National,Not Assigned,Not Applicable,0,0,0,0.39,0.4261631057,Not Applicable,0,Designated,1953,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145418,145418,1,Stara Vraticna,Stara Vraticna,Rezervat prirode,Nature Reserve,National,Not Assigned,Not Applicable,0,0,0,0.1,0.2857244641,Not Applicable,0,Designated,1954,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,388825,388825,1,Stari park u Temerinu,Stari park u Temerinu,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.04,0.03707770767,Not Applicable,0,Designated,1977,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328931,328931,1,Krupajsko vrelo,Krupajsko vrelo,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.09,0.09161348981,Not Applicable,0,Designated,1979,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328933,328933,1,Vrelo Mlave,Vrelo Mlave,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.06,0.06876423491,Not Applicable,0,Designated,1979,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328846,328846,1,Gornje Podunavlje,Gornje Podunavlje,Rezervat prirode,Nature Reserve,National,IV,Not Applicable,0,0,0,196.48,193.6265865,Not Applicable,0,Designated,1982,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,328899,328899,1,Potpecka pecina,Potpecka pecina,Spomenik prirode,Natural Monument,National,III,Not Applicable,0,0,0,0.19,0.210105912,Not Applicable,0,Designated,1953,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
Polygon,145252,145252,1,Mustafa,Mustafa,Rezervat prirode,Nature Reserve,National,Not Assigned,Not Applicable,0,0,0,0.8,0.8076338349,Not Applicable,0,Designated,1950,Federal or national ministry or agency,Not Reported,Institute for Nature Conservation of Serbia,Not Reported,State Verified,1839,Not Reported,SRB,SRB
