ID,tip_dobra,opis_dobra,naziv,god
1,STRP,Strogi rezervat prirode,Mustafa,2014
2,SP,Spomenik prirode,Ripaljka,2009
3,SP,Spomenik prirode,Prekonoska Pecina,2005
4,SP,Spomenik prirode,Pecina Ravna pec,2005
5,PS,Prirodni spomenik,Velika Pecina - Gaura Mare,1949
6,PS,Prirodni spomenik,Petnicka Pecina,1950
7,STPR,Strogi prirodni rezervat,Kosovski bozur (Paeonia decora)- Gazimestan,1950
8,ORP,Opsti rezervat prirode,Danilova kosa,2008
9,PS,Prirodni spomenik,Park-arboretum ''Aleksa Santic'',1951
10,PS,Prirodni spomenik,Sastojina starih slavonskih hrastova - Smogva,1978
11,SRP,Specijalni rezervat prirode,Obedska bara,1994
12,SP,Spomenik prirode,Potpecka Pecina,1997
13,STPR,Strogi prirodni rezervat,Varos,1978
14,STPR,Strogi prirodni rezervat,Stara Vraticna,1954
15,STPR,Strogi prirodni rezervat,Radjenovci,1978
16,STPR,Strogi prirodni rezervat,Majzecova basta,1978
17,STPR,Strogi prirodni rezervat,Vinicna,1978
18,SRP,Specijalni rezervat prirode,Ludasko jezero,2006
19,SP,Spomenik prirode,Pecina Popsicki pester,2005
20,PS,Prirodni spomenik,Pecina Samar sa prerastom Samar,1955
21,STPR,Strogi prirodni rezervat,Veliki Sturac,1956
22,STPR,Strogi prirodni rezervat,Busovata,1975
23,SP,Spomenik prirode,Prerasti u kanjonu Vratne,2014
24,PS,Prirodni spomenik,Kanjon reke Zamne sa prerastom - prirodnim mostom na ovoj reci pod,1957
25,STPR,Strogi prirodni rezervat,Kalenic,1974
26,ORP,Opsti rezervat prirode,Vinatovaca,1995
27,PNPL,Predeo narocite prirodne lepote,Park sume Ivlje,1958
28,ORP,Opsti rezervat prirode,Prokop,2008
29,PS,Prirodni spomenik,Prerast - prirodni most na recnom koritu Valje Prerast kod Majdanpe,1959
30,SP,Spomenik prirode,Djavolja Varos,1995
31,NP,Nacionalni park,Fruska gora,1993
32,SRP,Specijalni rezervat prirode,Mala Jasenova glava,2014
33,ORP,Opsti rezervat prirode,Bukovo,2007
34,SP,Spomenik prirode,Ivanovacka ada,2009
35,SP,Spomenik prirode,Homoljska potajnica,1995
36,STPR,Strogi prirodni rezervat,Jaresnik,1961
37,SP,Spomenik prirode,Resavska Pecina,1995
