ID,tip_dobra,opis_dobra,naziv
1,SP,Spomenik prirode,Bela topola kraj Strazilovskog potoka
2,SP,Spomenik prirode,Americki platan u Futogu
3,SP,Spomenik prirode,Beli dud u Gardinovcima
4,SP,Spomenik prirode,Americki platan kod Sonte
5,SP,Spomenik prirode,Divlja kruska kod Svilojeva
6,SP,Spomenik prirode,Platan u dvoristu OS Milos Crnjanski
7,SP,Spomenik prirode,Bela topola u Kukujevcima
8,SP,Spomenik prirode,Beli dud u Belom Blatu
9,SP,Spomenik prirode,Stablo crvenolisne bukve u Omolјici
10,SP,Spomenik prirode,Bela topola kod Stare Pazove
11,SP,Spomenik prirode,Bela topola u Molu
12,SP,Spomenik prirode,Americki platan na Sajlovu
