ID,namn1,fcsubtype_opis,na3_opis
1,Vinična,Prirodni rezervat,Opšti i specijalni rezervati prirode
2,Crna reka,Prirodni rezervat,Opšti i specijalni rezervati prirode
3,Šar-planina,Nacionalni park,Nacionalni park
4,Vinatovača,Prirodni rezervat,Opšti i specijalni rezervati prirode
5,Obedska bara,Prirodni rezervat,Opšti i specijalni rezervati prirode
6,Jelašnička klisura,Prirodni rezervat,Opšti i specijalni rezervati prirode
7,Selevenjske pustare,Prirodni rezervat,Opšti i specijalni rezervati prirode
8,Slano Kopovo,Prirodni rezervat,Opšti i specijalni rezervati prirode
9,Bagremara,Prirodni rezervat,Opšti i specijalni rezervati prirode
10,Klisura reke Trešnjice,Prirodni rezervat,Opšti i specijalni rezervati prirode
11,Kosovski božur Gazimestan,Prirodni rezervat,Opšti i specijalni rezervati prirode
12,Varoš,Prirodni rezervat,Opšti i specijalni rezervati prirode
13,Rađenovci,Prirodni rezervat,Opšti i specijalni rezervati prirode
14,Majzecova bašta,Prirodni rezervat,Opšti i specijalni rezervati prirode
15,Kukavica,Prirodni rezervat,Opšti i specijalni rezervati prirode
16,Đavolja varoš,Prirodni rezervat,Parkovi i spomenici prirode
17,Rogot,Prirodni rezervat,Parkovi i spomenici prirode
18,Rćanske pećine,Prirodni rezervat,Parkovi i spomenici prirode
19,Lazarov kanjon,Prirodni rezervat,Parkovi i spomenici prirode
20,Grupa stabla Pančićeve omorike,Prirodni rezervat,Parkovi i spomenici prirode
21,Miruša,Prirodni rezervat,Predeo izuzetnih odlika
22,Vršačke planine,Prirodni rezervat,Predeo izuzetnih odlika
23,Park šume Ivlje,Prirodni rezervat,Predeo izuzetnih odlika
24,Grmlja,Prirodni rezervat,Parkovi i spomenici prirode
25,Ponjavica,Prirodni rezervat,Parkovi i spomenici prirode
26,Tikvara,Prirodni rezervat,Parkovi i spomenici prirode
27,Golija,Prirodni rezervat,Parkovi i spomenici prirode
28,Stara Tisa kod Bisernog ostrva,Prirodni rezervat,Parkovi i spomenici prirode
29,Deo područja sela Tršića i manastira Tronoša,Prirodni rezervat,Predeo izuzetnih odlika
30,Dolina Pčinje,Prirodni rezervat,Predeo izuzetnih odlika
31,Kadinjača,Prirodni rezervat,Predeo izuzetnih odlika
32,Subotička peščara,Prirodni rezervat,Predeo izuzetnih odlika
33,Klisura reke Gradac,Prirodni rezervat,Predeo izuzetnih odlika
34,Priordni prostor manastira Prohor Pčinjski,Prirodni rezervat,Predeo izuzetnih odlika
35,Ovčarsko-Kablarska klisura,Prirodni rezervat,Predeo izuzetnih odlika
36,Veliko ratno ostrvo,Prirodni rezervat,Predeo izuzetnih odlika
37,Karađorđevo,Prirodni rezervat,Opšti i specijalni rezervati prirode
38,Karađorđevo,Prirodni rezervat,Opšti i specijalni rezervati prirode
39,Gornje podunavlje,Prirodni rezervat,Opšti i specijalni rezervati prirode
40,Gornje podunavlje,Prirodni rezervat,Opšti i specijalni rezervati prirode
41,Gornje podunavlje,Prirodni rezervat,Opšti i specijalni rezervati prirode
42,Gornje podunavlje,Prirodni rezervat,Opšti i specijalni rezervati prirode
43,Gornje podunavlje,Prirodni rezervat,Opšti i specijalni rezervati prirode
44,Đerdap,Nacionalni park,Nacionalni park
45,Deliblatska peščara,Prirodni rezervat,Opšti i specijalni rezervati prirode
46,Deliblatska peščara,Prirodni rezervat,Opšti i specijalni rezervati prirode
47,Deliblatska peščara,Prirodni rezervat,Opšti i specijalni rezervati prirode
48,Kraljevac,Prirodni rezervat,Opšti i specijalni rezervati prirode
49,Koviljsko-Petrovaradinski rit,Prirodni rezervat,Opšti i specijalni rezervati prirode
50,Rtanj,Prirodni rezervat,Opšti i specijalni rezervati prirode
51,Fruška gora,Nacionalni park,Nacionalni park
52,Uvac,Prirodni rezervat,Opšti i specijalni rezervati prirode
53,Zasavica,Prirodni rezervat,Opšti i specijalni rezervati prirode
54,Pašnjaci velike droplje,Prirodni rezervat,Opšti i specijalni rezervati prirode
55,Ozrenske livade,Prirodni rezervat,Predeo izuzetnih odlika
56,Mustafa,Prirodni rezervat,Opšti i specijalni rezervati prirode
57,Mermerna pećina,Prirodni rezervat,Parkovi i spomenici prirode
58,Krečnjački sprud Kamilja,Prirodni rezervat,Parkovi i spomenici prirode
59,Slapovi Sopotnice,Prirodni rezervat,Parkovi i spomenici prirode
60,Miljakovačka šuma,Prirodni rezervat,Parkovi i spomenici prirode
61,Pećina Samar sa prerastom Samar,Prirodni rezervat,Parkovi i spomenici prirode
62,Kanjon reke Vratne sa dve prerasti,Prirodni rezervat,Parkovi i spomenici prirode
63,Kanjon reke Zamne sa prerastom,Prirodni rezervat,Parkovi i spomenici prirode
64,Lepterija-Sokograd,Prirodni rezervat,Predeo izuzetnih odlika
65,Sićevačka klisura,Prirodni rezervat,Parkovi i spomenici prirode
66,Palić,Prirodni rezervat,Parkovi i spomenici prirode
67,Stara planina,Prirodni rezervat,Parkovi i spomenici prirode
68,Kamaraš,Prirodni rezervat,Parkovi i spomenici prirode
69,Jegrička,Prirodni rezervat,Parkovi i spomenici prirode
70,Straža,Prirodni rezervat,Parkovi i spomenici prirode
71,Bara Trskovača,Prirodni rezervat,Zaštićena staništa
72,Klisura reke Mileševke,Prirodni rezervat,Parkovi i spomenici prirode
73,Prirodni prostor kompleks Jasunjskih manastira,Prirodni rezervat,Predeo izuzetnih odlika
74,Prirodni prostor manastira Ljubostinja,Prirodni rezervat,Predeo izuzetnih odlika
75,Kosmaj,Prirodni rezervat,Predeo izuzetnih odlika
76,Vlasina,Prirodni rezervat,Predeo izuzetnih odlika
77,Avala,Prirodni rezervat,Predeo izuzetnih odlika
78,Tara,Nacionalni park,Nacionalni park
79,Šargan-Mokra gora,Prirodni rezervat,Parkovi i spomenici prirode
80,Begečka jama,Prirodni rezervat,Parkovi i spomenici prirode
81,Carska bara,Prirodni rezervat,Opšti i specijalni rezervati prirode
82,Carska bara,Prirodni rezervat,Opšti i specijalni rezervati prirode
83,Kopaonik,Nacionalni park,Nacionalni park
84,Kraljevac,Prirodni rezervat,Opšti i specijalni rezervati prirode
85,Koviljsko-Petrovaradinski rit,Prirodni rezervat,Opšti i specijalni rezervati prirode
86,Koviljsko-Petrovaradinski rit,Prirodni rezervat,Opšti i specijalni rezervati prirode
87,Koviljsko-Petrovaradinski rit,Prirodni rezervat,Opšti i specijalni rezervati prirode
88,Titelski breg,Prirodni rezervat,Opšti i specijalni rezervati prirode
89,Titelski breg,Prirodni rezervat,Opšti i specijalni rezervati prirode
90,Titelski breg,Prirodni rezervat,Opšti i specijalni rezervati prirode
91,Šuma Junaković,Prirodni rezervat,Parkovi i spomenici prirode
92,Ludaško jezero,Prirodni rezervat,Opšti i specijalni rezervati prirode
